name,google scholar link
Aaron Schulman,https://scholar.google.com/citations?user=OP27m34AAAAJ&hl=en&oi=ao
Aaron Sidford,https://scholar.google.com/citations?user=SWqd2rgAAAAJ&hl=en&oi=ao
Aaron Steven White,https://scholar.google.com/citations?user=R-ZVWNEAAAAJ&hl=en&oi=ao
Aaron Striegel,https://scholar.google.com/citations?user=w88NouMAAAAJ&hl=en&oi=ao
Aaron Stump,https://scholar.google.com/citations?user=568MtVQAAAAJ&hl=en&oi=ao
Aaron Visaggio,https://scholar.google.com/citations?user=bNMLhsIAAAAJ&hl=en&oi=ao
Aart Middeldorp,https://scholar.google.com/citations?user=R9MO_3AAAAAJ&hl=en&oi=ao
Aarti Gupta,https://scholar.google.com/citations?user=S_jYB2sAAAAJ&hl=en&oi=ao
Aarti Sathyanarayana,https://scholar.google.com/citations?user=gIvDmmEAAAAJ&hl=en&oi=ao
Aarti Singh,https://scholar.google.com/citations?user=6jP3ZSEAAAAJ&hl=en&oi=ao
Aasa Feragen,https://scholar.google.com/citations?user=MNDVpoUAAAAJ&hl=en&oi=ao
Aastha Mehta,https://scholar.google.com/citations?user=l1jObzoAAAAJ&hl=en&oi=ao
Aayush Jain,https://scholar.google.com/citations?user=VZ6S70MAAAAJ&hl=en&oi=ao
Abbas Edalat,https://scholar.google.com/citations?user=KP1AXgwAAAAJ&hl=en&oi=ao
Abbas Heydarnoori,https://scholar.google.com/citations?user=s5vgK3kAAAAJ&hl=en&oi=ao
Abbe Mowshowitz,https://scholar.google.com/citations?user=KwmExSIAAAAJ&hl=en&oi=ao
Abbes Amira,https://scholar.google.com/citations?user=yp_wQZMAAAAJ&hl=en&oi=ao
Abby Stylianou,https://scholar.google.com/citations?user=mNoB9SgAAAAJ&hl=en&oi=ao
Abdallah Saffidine,https://scholar.google.com/citations?user=yWzT7LAAAAAJ&hl=en&oi=ao
Abdel Latif Abu Dalhoum,https://scholar.google.com/citations?user=zXiv9G8AAAAJ&hl=en&oi=ao
AbdelRahman Abdou,https://scholar.google.com/citations?user=qEl1DpQAAAAJ&hl=en&oi=ao
Abdelaziz Bouras,https://scholar.google.com/citations?user=QKaJ_JgAAAAJ&hl=en&oi=ao
Abdelfattah Amamra,https://scholar.google.com/citations?user=cXl_OFIAAAAJ&hl=en&oi=ao
Abdelkarim Erradi,https://scholar.google.com/citations?user=2VhGiuAAAAAJ&hl=en&oi=ao
Abdelmounaam Rezgui,https://scholar.google.com/citations?user=QUuC8lAAAAAJ&hl=en&oi=ao
Abdeltawab M. A. Hendawi,https://scholar.google.com/citations?user=ad3Gki4AAAAJ&hl=en&oi=ao
Abdeltawab M. Hendawi,https://scholar.google.com/citations?user=ad3Gki4AAAAJ&hl=en&oi=ao
Abdeslam Boularias,https://scholar.google.com/citations?user=8AF3RCsAAAAJ&hl=en&oi=ao
Abdolreza Abhari,https://scholar.google.com/citations?user=V8hkFhcAAAAJ&hl=en&oi=ao
Abdul Mohsen Almalawi,https://scholar.google.com/citations?user=XxBxuykAAAAJ&hl=en&oi=ao
Abdul Sattar 0001,https://scholar.google.com/citations?user=NgPmzMsAAAAJ&hl=en&oi=ao
Abdul Serwadda,https://scholar.google.com/citations?user=0YfFzzUAAAAJ&hl=en&oi=ao
Abdulaziz Ali,https://scholar.google.com/citations?user=S42RixYAAAAJ&hl=en&oi=ao
Abdulhakim Qahtan,https://scholar.google.com/citations?user=8eKzXa8AAAAJ&hl=en&oi=ao
Abdulla K. Al-Ali,https://scholar.google.com/citations?user=s1LawbAAAAAJ&hl=en&oi=ao
Abdulla Khalid Al-Ali,https://scholar.google.com/citations?user=s1LawbAAAAAJ&hl=en&oi=ao
Abdullah Al Redwan Newaz,https://scholar.google.com/citations?user=L_ctqf0AAAAJ&hl=en&oi=ao
Abdullah Al-Ali,https://scholar.google.com/citations?user=s1LawbAAAAAJ&hl=en&oi=ao
Abdullah Al-Mamun 0001,https://scholar.google.com/citations?user=PpBDA1cAAAAJ&hl=en&oi=ao
Abdullah Algarni,https://scholar.google.com/citations?user=fQldSpoAAAAJ&hl=en&oi=ao
Abdullah Ercument Cicek,https://scholar.google.com/citations?user=n25sJzkAAAAJ&hl=en&oi=ao
Abdullah Mueen,https://scholar.google.com/citations?user=OImDWloAAAAJ&hl=en&oi=ao
Abdullah Muzahid,https://scholar.google.com/citations?user=hN7mpGMAAAAJ&hl=en&oi=ao
Abdullah Uz Tansel,https://scholar.google.com/citations?user=emeq3i8AAAAJ&hl=en&oi=ao
Abdullah Yasin Nur,https://scholar.google.com/citations?user=hxKxyYYAAAAJ&hl=en&oi=ao
Abdullah-Al-Zubaer Imran,https://scholar.google.com/citations?user=HI7UKCIAAAAJ&hl=en&oi=ao
Abdulmohsen Almalawi,https://scholar.google.com/citations?user=XxBxuykAAAAJ&hl=en&oi=ao
Abdulmotaleb El-Saddik,https://scholar.google.com/citations?user=VcOjgngAAAAJ&hl=en&oi=ao
Abdulmotaleb Elsaddik,https://scholar.google.com/citations?user=VcOjgngAAAAJ&hl=en&oi=ao
Abe Davis,https://scholar.google.com/citations?user=Gp8ghkAAAAJ&hl=en&oi=ao
Abedelaziz Mohaisen,https://scholar.google.com/citations?user=q387AywAAAAJ&hl=en&oi=ao
Abel G. Silva-Filho,https://scholar.google.com/citations?user=vzHzlxkAAAAJ&hl=en&oi=ao
Abel G. da Silva Filho,https://scholar.google.com/citations?user=vzHzlxkAAAAJ&hl=en&oi=ao
Abel Guilhermino Silva-Filho,https://scholar.google.com/citations?user=vzHzlxkAAAAJ&hl=en&oi=ao
Abel Guilhermino da Silva Filho,https://scholar.google.com/citations?user=vzHzlxkAAAAJ&hl=en&oi=ao
